"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","111.80","112.06","112.24","111.56","419.02K","-0.32%"
"28.12.2023","112.16","112.62","112.98","111.74","526.46K","-0.57%"
"27.12.2023","112.80","112.36","112.84","111.74","633.44K","0.21%"
"22.12.2023","112.56","112.26","113.32","112.20","506.92K","0.09%"
"21.12.2023","112.46","112.20","112.46","111.34","989.68K","-1.11%"
"20.12.2023","113.72","114.30","115.32","113.46","833.10K","-0.39%"
"19.12.2023","114.16","114.22","115.62","113.84","859.78K","-0.56%"
"18.12.2023","114.80","115.10","115.40","113.76","809.94K","-1.00%"
"15.12.2023","115.96","116.42","118.22","115.50","2.25M","0.19%"
"14.12.2023","115.74","116.50","117.20","114.48","1.52M","1.28%"
"13.12.2023","114.28","115.36","115.94","114.28","1.05M","-0.66%"
"12.12.2023","115.04","116.40","116.68","115.04","919.89K","-0.54%"
"11.12.2023","115.66","115.02","116.06","114.40","842.02K","0.70%"
"08.12.2023","114.86","113.00","115.32","112.70","1.03M","1.16%"
"07.12.2023","113.54","113.74","113.92","112.52","927.49K","-0.73%"
"06.12.2023","114.38","110.42","114.58","109.84","2.46M","5.36%"
"05.12.2023","108.56","107.36","108.56","107.04","693.98K","0.71%"
"04.12.2023","107.80","106.92","108.16","106.68","810.05K","0.73%"
"01.12.2023","107.02","107.20","107.20","105.80","561.24K","0.56%"
"30.11.2023","106.42","107.38","107.42","105.34","882.97K","-0.43%"
"29.11.2023","106.88","104.26","107.30","104.26","1.15M","1.71%"
"28.11.2023","105.08","105.50","105.66","104.36","659.62K","-0.98%"
"27.11.2023","106.12","107.00","107.34","105.28","708.14K","-0.82%"
"24.11.2023","107.00","106.06","107.14","105.40","622.61K","0.39%"
"23.11.2023","106.58","107.00","107.62","106.40","421.49K","-0.21%"
"22.11.2023","106.80","107.08","107.62","106.38","638.38K","-0.06%"
"21.11.2023","106.86","108.74","108.88","106.68","926.74K","-1.82%"
"20.11.2023","108.84","109.60","109.92","108.06","633.97K","0.00%"
"17.11.2023","108.84","108.30","109.86","107.88","842.14K","0.54%"
"16.11.2023","108.26","109.66","110.64","107.96","874.27K","-1.49%"
"15.11.2023","109.90","108.48","110.44","107.90","1.28M","1.91%"
"14.11.2023","107.84","105.58","108.64","105.36","1.44M","2.65%"
"13.11.2023","105.06","104.02","105.14","103.96","629.55K","1.35%"
"10.11.2023","103.66","103.96","104.14","102.88","716.40K","-1.16%"
"09.11.2023","104.88","104.50","105.54","104.00","588.04K","0.46%"
"08.11.2023","104.40","103.70","105.20","103.08","532.81K","0.19%"
"07.11.2023","104.20","104.32","105.22","103.82","569.96K","-0.82%"
"06.11.2023","105.06","105.50","106.10","104.60","600.46K","0.02%"
"03.11.2023","105.04","103.98","106.44","103.90","1.25M","2.00%"
"02.11.2023","102.98","101.00","103.38","100.48","1.25M","3.20%"
"01.11.2023","99.79","100.56","100.90","99.14","804.24K","-0.04%"
"31.10.2023","99.83","99.40","100.22","98.87","860.58K","0.70%"
"30.10.2023","99.14","99.52","100.12","98.82","716.40K","-0.15%"
"27.10.2023","99.29","100.06","101.06","99.25","1.02M","-0.68%"
"26.10.2023","99.97","99.87","100.72","97.83","1.51M","-0.82%"
"25.10.2023","100.80","102.12","102.30","99.82","1.11M","-0.96%"
"24.10.2023","101.78","102.14","102.38","100.84","730.36K","-0.45%"
"23.10.2023","102.24","102.76","103.24","99.75","2.08M","-0.87%"
"20.10.2023","103.14","104.46","104.58","102.86","1.35M","-2.05%"
"19.10.2023","105.30","106.00","106.62","104.82","1.14M","-2.16%"
"18.10.2023","107.62","108.80","109.28","107.60","724.66K","-0.83%"
"17.10.2023","108.52","107.92","108.52","107.08","634.77K","-0.09%"
"16.10.2023","108.62","107.68","108.96","106.92","530.14K","0.87%"
"13.10.2023","107.68","108.70","109.50","105.78","1.08M","-0.87%"
"12.10.2023","108.62","110.00","110.66","108.52","709.83K","-0.60%"
"11.10.2023","109.28","107.86","110.74","107.30","1.11M","1.07%"
"10.10.2023","108.12","106.44","108.90","106.44","1.07M","2.27%"
"09.10.2023","105.72","105.90","106.18","105.18","637.99K","-0.99%"
"06.10.2023","106.78","106.54","107.18","105.58","593.67K","0.26%"
"05.10.2023","106.50","107.12","107.80","106.24","539.35K","-0.99%"
"04.10.2023","107.56","106.22","108.00","104.88","684.22K","0.43%"
"03.10.2023","107.10","108.30","108.52","106.94","687.11K","-1.74%"
"02.10.2023","109.00","109.46","110.28","108.40","597.86K","0.06%"
"29.09.2023","108.94","108.96","110.08","108.32","999.26K","0.17%"
"28.09.2023","108.76","108.40","108.96","107.24","637.21K","-0.11%"
"27.09.2023","108.88","109.62","110.96","107.10","1.11M","-1.20%"
"26.09.2023","110.20","113.04","113.04","110.20","1.12M","-2.70%"
"25.09.2023","113.26","113.90","114.06","112.20","917.30K","-1.07%"
"22.09.2023","114.48","112.10","114.84","111.16","1.72M","2.56%"
"21.09.2023","111.62","111.30","112.16","110.98","733.33K","-0.18%"
"20.09.2023","111.82","109.52","112.54","109.50","1.13M","1.90%"
"19.09.2023","109.74","109.20","111.10","108.88","1.35M","2.14%"
"18.09.2023","107.44","109.50","109.52","107.02","974.08K","-2.15%"
"15.09.2023","109.80","109.34","110.50","108.68","1.56M","1.07%"
"14.09.2023","108.64","108.38","108.88","106.88","1.18M","-0.39%"
"13.09.2023","109.06","108.66","113.16","108.64","1.43M","0.06%"
"12.09.2023","109.00","108.78","109.84","107.98","950.20K","0.87%"
"11.09.2023","108.06","107.74","108.44","107.38","885.85K","0.93%"
"08.09.2023","107.06","106.72","107.20","104.48","1.41M","1.23%"
"07.09.2023","105.76","107.00","108.10","105.64","1.03M","-1.62%"
"06.09.2023","107.50","108.00","108.54","107.30","888.12K","-0.90%"
"05.09.2023","108.48","107.56","108.48","106.44","1.18M","0.17%"
"04.09.2023","108.30","108.60","109.34","107.96","863.49K","-0.02%"
"01.09.2023","108.32","110.48","110.60","107.70","3.27M","-4.18%"
"31.08.2023","113.04","113.70","113.96","112.74","884.34K","-0.34%"
"30.08.2023","113.42","114.16","114.36","113.26","539.06K","-0.26%"
"29.08.2023","113.72","113.30","114.00","112.84","671.75K","0.71%"
"28.08.2023","112.92","112.82","113.20","112.14","706.15K","0.73%"
"25.08.2023","112.10","111.82","112.30","111.22","675.72K","-0.07%"
"24.08.2023","112.18","114.26","114.44","112.06","996.48K","-1.37%"
"23.08.2023","113.74","114.02","114.60","113.06","983.59K","-0.59%"
"22.08.2023","114.42","115.12","115.48","114.42","612.47K","0.02%"
"21.08.2023","114.40","114.08","115.26","114.08","707.22K","-0.05%"
"18.08.2023","114.46","113.98","114.86","113.10","780.83K","-0.21%"
"17.08.2023","114.70","115.00","115.46","113.90","740.70K","-0.35%"
"16.08.2023","115.10","115.50","115.96","115.10","724.58K","-0.55%"
"15.08.2023","115.74","116.90","117.14","115.50","742.68K","-0.99%"
"14.08.2023","116.90","116.78","117.50","115.66","759.36K","-0.09%"
"11.08.2023","117.00","117.48","118.78","117.00","860.51K","-0.58%"
"10.08.2023","117.68","117.84","118.68","117.28","801.21K","0.68%"
"09.08.2023","116.88","118.28","118.98","116.88","995.14K","0.40%"
"08.08.2023","116.42","117.92","117.92","115.22","1.33M","-1.61%"
"07.08.2023","118.32","118.32","118.74","117.74","628.67K","-0.22%"
"04.08.2023","118.58","119.44","119.76","117.94","712.63K","-0.22%"
"03.08.2023","118.84","118.50","118.98","117.40","1.06M","-0.18%"
"02.08.2023","119.06","118.80","119.92","118.40","996.74K","-0.78%"
"01.08.2023","120.00","120.66","120.94","118.90","1.20M","-0.46%"
"31.07.2023","120.56","121.26","121.84","120.56","825.24K","-0.59%"
"28.07.2023","121.28","120.00","121.44","118.76","1.27M","0.26%"
